,credit.policy,purpose,int.rate,installment,log.annual.inc,dti,fico,days.with.cr.line,revol.bal,revol.util,inq.last.6mths,delinq.2yrs,pub.rec,not.fully.paid
45,1,debt_consolidation,0.1531,557.05,11.15625052,20.64,677,1800,11725,54.8,1,0,0,1
46,1,credit_card,0.1505,402.42,11.79981723,16.79,682,11190,54194,85.7,0,0,1,1
47,0,major_purchase,0.1357,203.82,9.980448594,3.89,712,2280.041667,3103,38.8,5,0,0,0
48,1,debt_consolidation,0.1411,513.44,11.20775808,15.99,707,3360.041667,40868,66.6,0,0,0,1
49,0,all_other,0.1148,395.63,11.23848862,5.1,737,8880.041667,22158,80.3,4,0,0,0
50,1,debt_consolidation,0.1347,678.46,12.12269104,7.28,732,7218,50381,68.5,1,0,0,1
51,0,all_other,0.1412,119.83,10.71441777,10.19,657,3210,9771,86.4,4,0,0,0
52,1,all_other,0.1324,265.41,12.20607265,15.62,707,4680,36293,62.3,3,0,0,1
53,0,all_other,0.087,158.31,9.61580548,9.84,727,2220,5243,31.6,4,0,0,1
54,0,credit_card,0.1576,192.72,10.69194491,29.95,692,2790,26313,58.5,9,0,2,0
55,0,debt_consolidation,0.1772,360.13,11.30684796,25.91,657,2430.041667,41603,81.1,0,0,0,1
56,0,home_improvement,0.1482,172.89,10.858999,14.17,642,7439.958333,5355,43.5,1,2,0,0
57,1,all_other,0.167,71.01,12.85839783,1.77,692,1530,13757,98.3,0,0,0,1
58,1,all_other,0.1122,155.19,9.893437217,23.03,717,2580,4500,13,0,0,0,1
59,0,debt_consolidation,0.179,541.5,11.46163217,0.8,687,779.9583333,3118,52,3,0,0,0
60,0,home_improvement,0.1249,80.28,10.63055295,20.56,662,2070,18749,83,5,0,0,1
61,1,educational,0.1568,87.51,10.3768605,23.88,667,1499.958333,8072,92.8,1,0,0,1
62,1,home_improvement,0.1392,682.74,13.45883561,3.09,697,3869.958333,6960,44.6,0,0,0,1
63,1,debt_consolidation,0.1347,468.14,10.40535315,13.98,697,3719.958333,15670,80.8,0,0,0,1
64,0,all_other,0.167,461.52,11.61186541,11.7,667,8100,4040,91.8,5,2,1,0
65,1,debt_consolidation,0.1347,407.08,10.96439797,17.74,697,5910,11401,83.2,0,0,0,1
66,0,credit_card,0.1222,249.9,11.09741002,12.11,677,5070,5319,106.4,0,0,0,0
67,1,credit_card,0.1103,294.78,11.12726298,12.72,687,9119.958333,36164,39.4,1,0,0,1
68,1,credit_card,0.1379,238.53,10.71441777,18.35,707,7170,12197,95.3,1,0,0,1
69,0,all_other,0.1884,146.31,10.86513399,17.16,682,3449.958333,1682,39.1,10,0,0,0
70,1,debt_consolidation,0.1322,669.26,11.58058411,17.05,707,3990,23075,67.3,0,0,0,1
71,1,debt_consolidation,0.0714,154.7,11.28978191,6.57,752,6000.041667,8754,17.3,3,0,0,0
72,1,major_purchase,0.1218,599.4,11.08214255,13.9,717,3780.041667,6683,55.7,0,0,0,1
73,0,small_business,0.1312,810.05,11.00209984,25.08,757,9182.041667,53461,50.8,0,0,0,0
74,0,all_other,0.1122,344.87,11.00209984,19.5,742,5609.958333,0,0,5,1,0,0
75,1,debt_consolidation,0.1387,341.15,10.4744671,13.19,662,4050,11969,88,2,0,0,1
76,1,debt_consolidation,0.1189,198.99,11.15625052,15.87,697,4499.958333,37138,73.4,1,0,0,1
77,0,credit_card,0.1273,688.11,11.31447453,21.13,732,5881,35227,54.3,5,0,0,0
78,0,all_other,0.1091,326.97,10.26813067,2.46,682,2609.041667,1999,99.9,3,0,0,0
79,0,debt_consolidation,0.1183,497.01,12.1547583,16.26,767,6695,273853,37.5,5,0,0,0
80,1,debt_consolidation,0.1695,320.65,12.37581542,11.67,667,3869.958333,22353,99.3,0,0,1,1
81,0,debt_consolidation,0.1525,869.7,10.71441777,13.73,697,7860.041667,18840,54.8,6,0,0,1
82,0,debt_consolidation,0.1292,252.42,12.07254125,14.78,667,7530,84355,95.9,4,0,0,0
83,0,credit_card,0.16,878.94,12.40901349,17.93,692,5609.958333,181638,70.7,6,0,0,0
84,0,debt_consolidation,0.1322,338.01,11.28978191,16.84,697,3570.041667,13948,39,4,1,0,0
85,0,debt_consolidation,0.1438,149.48,9.852194258,13.45,642,1139,2422,105.3,3,0,0,0
86,1,debt_consolidation,0.1099,157.13,9.61580548,0,752,1680.041667,0,0,0,0,0,1
87,1,debt_consolidation,0.0976,241.16,11.26446411,13.91,727,4788,49150,42,3,0,0,1
88,0,credit_card,0.1103,245.65,10.71441777,11.41,687,4830,5148,12.7,7,0,0,0
89,0,all_other,0.0933,127.82,10.81977828,4,702,995.9583333,6500,80,3,0,0,0
90,1,home_improvement,0.0894,571.89,11.28978191,5.37,777,6990,17915,17,3,0,0,1
91,1,debt_consolidation,0.1229,640.38,10.87804719,18.93,702,3689,20033,82.8,1,0,0,1
92,1,all_other,0.0988,257.69,11.58988651,1.44,757,3509.041667,4165,61.2,2,0,0,0
93,1,credit_card,0.0714,170.17,10.75790288,19.86,752,4110,10254,23.5,1,0,0,0
94,1,debt_consolidation,0.1292,807.74,11.29849385,15.08,697,4440,21364,86.5,0,0,0,1
95,1,debt_consolidation,0.1253,200.8,10.66895539,18.89,682,5130,6334,68.1,2,0,1,1
96,0,all_other,0.1046,68.22,10.43998092,10.04,682,720,1856,26.5,0,0,0,0
97,0,major_purchase,0.1704,178.38,9.903487553,0.6,687,1590,539,2.4,8,1,0,0
98,0,all_other,0.1136,213.93,10.7342204,2.43,702,2070.041667,5319,46.7,4,0,0,0
99,1,home_improvement,0.1407,764.64,11.81303006,3.66,672,5790,10753,52.3,2,3,0,1
100,0,debt_consolidation,0.1861,451.19,11.52386541,29.7,662,5760.041667,35447,96.9,8,0,0,0
101,1,debt_consolidation,0.1172,82.71,11.03488966,19.29,677,4319,7180,34.4,3,0,0,1
102,1,debt_consolidation,0.1442,84.24,9.680344001,21.6,702,7170.041667,14052,98.3,2,0,0,1
103,1,debt_consolidation,0.1183,659.37,11.06663836,8.18,737,6946,27095,67.1,2,0,0,1
104,1,debt_consolidation,0.1324,608.58,11.00209984,22.4,687,3151.041667,5855,54.7,0,0,1,1
105,0,major_purchase,0.138,109.06,10.86856845,17.44,652,3930,5070,64.2,1,3,0,0
106,1,credit_card,0.1025,404.81,10.50506754,18.38,732,3394,12849,45.6,0,0,0,0
107,1,small_business,0.1853,538.98,11.00209984,1.58,717,3390,8476,66.7,1,0,0,1
108,1,home_improvement,0.1392,382.34,10.41271189,18.07,682,3300,6720,88.4,3,0,0,1
109,0,debt_consolidation,0.1507,41.64,10.59182318,18.27,652,3342,9408,93.1,3,0,0,0
110,0,debt_consolidation,0.1197,338.64,11.11542853,16.66,682,4320.041667,8712,72,5,0,0,1
111,0,debt_consolidation,0.1442,330.08,11.08214255,17.34,687,6029.958333,10754,32.6,5,0,0,1
112,0,debt_consolidation,0.133,406.07,10.49127422,12.77,662,2430.041667,8480,19.1,4,2,0,0
113,0,debt_consolidation,0.1183,662.68,11.72212424,19.22,737,8880,121874,54.1,1,0,0,0
114,0,debt_consolidation,0.1615,176.16,10.93310697,24.36,652,7379,10402,81.9,3,0,0,1
115,0,debt_consolidation,0.1576,413.46,10.89673933,18.96,652,5850,15827,82,1,0,0,0
116,0,all_other,0.0933,124.62,11.49272276,10,707,4079.958333,0,56.8,1,0,1,0
117,1,debt_consolidation,0.1136,236.96,10.77895629,7.15,727,5400.041667,9379,35.7,1,0,1,0
118,0,debt_consolidation,0.1722,303.98,10.23995979,22.93,642,1800,7985,89.5,4,0,0,0
119,1,all_other,0.1496,138.59,10.71441777,1.79,682,1230.041667,1298,81.1,0,0,0,0
120,0,all_other,0.0838,81.94,8.779557456,6.46,722,1230.041667,0,0.1,2,0,0,1
121,0,all_other,0.1158,184.88,11.19821472,3.4,712,4079.958333,5266,9,4,0,0,0
122,0,all_other,0.1299,808.54,12.3883942,9.67,682,9479,66919,61.3,5,0,0,0
123,1,debt_consolidation,0.1379,340.76,11.00209984,15.14,697,4800,10852,64.2,1,0,1,1
124,0,all_other,0.0863,31.63,11.03650127,18.03,737,4019,80006,54.9,2,1,0,0
125,1,credit_card,0.1316,844.26,11.73606902,8.24,727,5549.958333,14323,50.3,1,0,0,1
126,0,small_business,0.1663,115.28,8.987196821,6.3,707,660,0,0,2,0,0,0
127,1,small_business,0.1426,480.29,10.69194491,21.82,747,3661,14479,53.8,3,0,0,1
128,0,credit_card,0.1482,331.95,11.08214255,15.73,652,2730.041667,21712,73.9,12,0,0,0
129,0,all_other,0.1292,471.18,11.69524702,22.71,692,3479.041667,10388,60.4,4,0,0,1
130,1,home_improvement,0.1287,168.17,10.87426647,16.57,682,3644.958333,1465,63.7,1,0,0,1
131,0,all_other,0.1531,139.27,10.55581274,8.34,667,3810.041667,1151,9.8,6,0,0,0
132,1,small_business,0.0976,644.71,10.16585182,9.14,762,6752.041667,507,3.5,0,0,0,1
133,0,credit_card,0.1438,42.96,9.210340372,5.64,632,660,1269,105.7,1,0,0,0
134,0,all_other,0.0996,64.5,8.699514748,10,687,810,0,70,1,0,0,0
135,1,debt_consolidation,0.1632,176.57,9.998797732,8.67,662,1140,8517,71.6,2,0,0,1
136,0,debt_consolidation,0.1982,926.83,11.58710486,20.28,687,4320.958333,14858,99.1,4,0,0,0
137,1,debt_consolidation,0.1273,805.59,12.07254125,10.65,717,3840.041667,31973,74.4,0,0,0,0
138,0,credit_card,0.1461,258.57,11.45143297,23.88,672,10950,56418,79.2,4,0,0,0
139,0,all_other,0.1392,119.48,11.28978191,0.6,702,3479.958333,3312,10.4,6,0,0,0
140,0,major_purchase,0.08,125.35,10.30895266,12.2,752,539.9583333,70,2.9,0,0,0,0
141,0,debt_consolidation,0.1304,168.57,10.29200994,20.38,672,2370.041667,4546,56.1,4,0,0,1
142,1,credit_card,0.102,388.34,11.22524339,6.88,767,2760.041667,0,0,0,0,0,1
143,0,debt_consolidation,0.1461,172.38,10.89673933,12.38,717,7499.958333,6271,98,4,0,0,0
144,0,all_other,0.1601,112.52,11.14836235,27.21,667,3630,7087,74.8,2,1,0,0
145,0,all_other,0.1287,67.27,9.729134165,6.64,722,3509.958333,992,82.7,5,0,0,1
146,1,credit_card,0.1166,240.46,10.91348718,16.91,712,4859.958333,17581,98.2,0,0,0,1
147,0,all_other,0.1166,330.53,11.40756495,19.93,717,5355,35140,43.3,8,0,0,0
148,1,home_improvement,0.1148,98.91,11.40756495,7.96,707,4949.958333,7562,47,2,0,0,1
149,0,all_other,0.0807,78.42,11.28978191,0.09,727,6678,6,1.5,0,1,0,0
150,1,credit_card,0.1158,264.11,10.34148439,6.89,712,5670.041667,11025,55.1,1,0,1,1
151,0,debt_consolidation,0.1671,385.27,10.91871823,26.52,667,2672.958333,21300,65.5,4,0,0,0
152,1,small_business,0.1136,822.78,11.69524702,3.6,727,9150,9466,27.4,1,0,0,0
153,1,debt_consolidation,0.1459,413.58,11.79810441,12.48,692,6630,18159,96.6,3,0,0,1
154,1,small_business,0.1336,846.7,11.75978554,16.62,712,7890.041667,46663,47.4,1,0,0,1
155,0,debt_consolidation,0.1347,508.84,11.26446411,6.71,717,3720,20490,86.1,4,0,0,0
156,1,debt_consolidation,0.1348,474.94,10.63103616,20.06,692,2310.041667,13211,73.8,1,0,0,0
157,0,credit_card,0.1347,339.23,11.28978191,14.2,692,4560,126402,68.9,2,0,0,0
158,1,small_business,0.1565,419.84,11.08214255,11.94,712,6897,13583,26.6,0,0,0,1
159,0,debt_consolidation,0.1545,293.05,11.35040654,15.71,642,4200,14578,99.2,3,2,0,0
160,0,home_improvement,0.1229,250.15,10.73639668,3.03,672,983,5556,27.1,2,0,0,0
161,0,debt_consolidation,0.1533,364.82,10.59663473,11.76,647,1019.958333,12274,66.3,2,0,0,0
162,1,home_improvement,0.1071,116.56,10.75790288,13.3,702,6060,10083,53.9,1,0,1,1
163,1,credit_card,0.1128,73.14,10.08580911,12.45,717,6119.958333,3623,90.6,0,1,0,1
164,1,all_other,0.1218,499.5,11.41861479,0.01,782,2789.958333,6321,12.3,4,0,0,1
165,1,debt_consolidation,0.1941,471.89,10.858999,11.15,672,5550,8340,24.2,2,0,0,0
166,1,debt_consolidation,0.1273,167.84,10.75790288,2.04,687,3930.041667,1319,44,1,1,0,0
167,0,all_other,0.1122,173.25,11.15625052,25.78,722,4080,17844,31.1,0,0,0,0
168,0,debt_consolidation,0.1482,62.24,11.00209984,21.86,647,2790,47253,89.2,3,0,0,0
169,0,credit_card,0.1853,546.27,11.98292909,11.27,677,5438,15814,83.2,6,0,0,0
170,0,small_business,0.1853,500.74,11.00209984,3.84,677,6511,12679,33,4,2,0,1
171,0,credit_card,0.1317,185.77,11.01862914,13.79,677,2701,25457,70.7,5,0,0,0
172,0,educational,0.157,157.55,10.65608219,23.89,662,2130,5361,42.2,12,0,0,1
173,0,debt_consolidation,0.1229,236.81,10.1266311,15.55,672,990,10410,63.9,1,0,0,0
174,1,all_other,0.1663,354.7,10.16585182,4.62,687,1229.958333,5785,54.6,1,0,0,1
175,0,all_other,0.2017,55.88,10.57131693,17.32,677,1709.958333,1513,37.8,10,0,0,0
176,1,debt_consolidation,0.1426,686.12,11.40756495,22.81,687,4505,28619,74.3,1,0,1,1
177,0,all_other,0.1496,97.01,9.708931458,16.18,677,2131.958333,807,23.1,4,1,0,1
178,0,all_other,0.1253,257.7,11.14186178,0.21,722,4380,184,1.1,5,0,0,1
179,1,home_improvement,0.1159,206.37,10.54534144,8.53,682,4290.958333,6288,22.3,3,0,1,1
180,1,small_business,0.1158,495.21,11.1844214,13.27,727,4050,23236,42.4,2,0,0,1
181,0,debt_consolidation,0.1758,646.96,10.77895629,13.82,677,1890,9611,93.3,7,0,0,0
182,0,credit_card,0.0894,317.72,11.6784399,7.03,737,4319.958333,140420,48,0,0,0,0
183,0,debt_consolidation,0.1545,348.87,10.77895629,13.38,642,2400.041667,24979,94.6,4,0,0,0
184,1,all_other,0.1096,113.71,11.22524339,9.92,687,6240,22796,51.9,1,0,0,1
185,1,credit_card,0.1025,97.16,11.00209984,15.64,702,2310.041667,14636,71.4,0,0,0,0
186,1,educational,0.1284,282.4,11.45105006,22.54,682,3990,65621,81.5,1,0,0,1
187,0,credit_card,0.128,67.2,9.210340372,3.48,647,1169.958333,571,61.9,0,1,0,0
188,0,debt_consolidation,0.1379,170.38,10.1266311,22.18,692,4320.041667,5040,45.2,5,0,1,0
189,0,credit_card,0.1103,245.65,11.09741002,6.38,692,3630,23192,85.6,4,0,0,0
190,1,small_business,0.147,862.97,11.3736634,5.79,677,4739,4209,75.2,2,0,0,1
191,0,educational,0.145,123.06,10.20359214,21.33,657,2189.958333,20952,63.3,6,0,0,1
192,1,educational,0.1134,329,10.14124382,8.79,692,3839.041667,1573,39.3,0,0,0,1
193,0,debt_consolidation,0.0996,25.8,8.699514748,0,682,480.0416667,0,0,1,0,0,0
194,0,all_other,0.1758,170.73,9.61580548,11.68,707,1650,0,0,9,0,0,0
195,1,debt_consolidation,0.1322,84.51,10.35210793,14.56,727,8160.041667,17806,99.4,0,0,0,1
196,0,all_other,0.1261,33.51,11.08214255,0.85,657,540,1496,71.2,1,0,0,0
197,1,debt_consolidation,0.0788,437.93,10.75790288,4.98,747,2940,4482,19.4,0,0,0,0
198,1,debt_consolidation,0.1442,275.07,10.858999,6.88,667,3960,9760,66.8,0,0,0,1
199,0,home_improvement,0.0976,188.91,10.59663473,17.43,727,4559.958333,33,0.1,4,0,1,1
200,0,debt_consolidation,0.1375,272.46,9.903487553,13.2,652,1110,6014,72.5,3,0,0,0
201,1,all_other,0.1071,163.01,10.81977828,9.58,702,5129.958333,854,71.2,1,0,0,1
202,1,debt_consolidation,0.1128,167.65,11.05879518,14.68,687,4770,17550,38.6,2,0,0,1
203,0,all_other,0.1324,20.29,9.546812609,22.03,662,750,195,65,0,0,0,0
204,0,debt_consolidation,0.1299,203.82,10.71441777,22.77,692,5719.041667,22191,85.3,6,0,1,1
205,0,debt_consolidation,0.16,316.42,11.47626148,16.07,667,5370,20916,37.2,6,0,0,0
206,1,debt_consolidation,0.1025,323.85,10.46310334,11.59,717,3691,778,43.2,1,0,0,0
207,0,debt_consolidation,0.1324,38.04,10.52406404,16.81,652,3900,1097,58.1,6,0,1,1
208,1,all_other,0.0996,322.49,11.19134184,10.28,702,4920.041667,3943,98.6,3,0,0,1
209,0,debt_consolidation,0.1496,346.45,10.71441777,17.79,672,3060.041667,7201,82.8,4,0,0,0
210,1,home_improvement,0.1189,663.28,11.01205017,2.89,742,3660,6863,46.7,4,0,0,1
211,0,small_business,0.1537,871.16,12.03765399,0.61,707,7230,4066,46.3,4,0,1,0
212,0,debt_consolidation,0.1531,522.23,11.60823564,11.18,697,7619.958333,38352,42.8,7,0,0,1
213,0,credit_card,0.1501,336.31,11.03488966,17.03,642,9390,15780,20.2,4,3,0,0
214,1,debt_consolidation,0.1287,403.6,11.15625052,22.47,697,4080,13260,66.6,2,0,0,1
215,1,debt_consolidation,0.1221,53.31,11.14186178,18.14,677,5251.041667,4658,44.3,3,1,1,1
216,1,debt_consolidation,0.1114,367.4,10.46310334,10.8,732,3810.041667,10631,36.9,3,0,0,1
217,1,debt_consolidation,0.1014,452.67,11.22524339,16.54,722,4800,14214,39.4,0,0,0,1
218,1,debt_consolidation,0.1347,407.08,10.14909685,9.2,722,11339.95833,11377,94.8,1,0,0,1
219,0,all_other,0.1608,409.16,10.858999,25.55,677,2430.041667,6473,39.7,5,0,0,1
220,0,debt_consolidation,0.1284,336.18,10.83958091,20,702,2760,10639,54.6,5,0,0,0
221,0,debt_consolidation,0.1703,570.69,11.35510138,25.32,672,4149.958333,38781,54.5,3,0,0,0
222,1,debt_consolidation,0.1183,132.54,10.30895266,20.68,717,1679.958333,3866,53,0,0,0,1
223,1,all_other,0.1426,41.17,8.476371197,13.75,702,2580,0,36.5,0,0,0,1
224,1,debt_consolidation,0.1273,537.06,10.71441777,19.29,717,3001,12790,49.8,0,0,0,1
225,0,credit_card,0.1461,517.13,11.51292546,11.12,682,2580,26435,88.7,4,0,0,0
226,1,all_other,0.1109,262.26,11.1844214,5.12,687,1949.041667,14653,95.1,0,0,0,1
227,0,credit_card,0.167,710.03,11.28978191,23.41,677,9119.958333,81089,86.8,0,1,2,0
228,0,home_improvement,0.1191,497.58,11.08214255,19.66,702,1949.958333,24985,49.6,5,0,0,0
229,1,all_other,0.1001,216.23,10.59663473,5.13,717,6300,4225,28.9,3,0,1,1
230,1,debt_consolidation,0.2121,746.24,11.73606902,19.87,662,7920,90063,79.6,1,0,0,1
231,0,major_purchase,0.1299,168.45,9.903487553,9.78,657,1949.041667,504,63,2,0,0,0
232,0,debt_consolidation,0.1475,259.08,10.7342204,17.73,652,5001.958333,6131,68.9,1,0,0,0
233,1,credit_card,0.1136,691.14,11.28978191,23.1,722,5310.041667,34377,58.5,0,0,0,0
234,0,all_other,0.133,67.68,9.887358171,23.6,677,1560.041667,480,96,5,0,0,0
235,1,all_other,0.1947,590.35,11.07558262,19.36,667,3810.041667,9605,86.5,3,0,0,1
236,0,all_other,0.1316,168.86,10.68464561,14.15,677,5370,43075,70.7,1,0,0,1
237,0,debt_consolidation,0.1189,265.32,11.00209984,19.52,702,4891.041667,83434,69,3,0,0,0
238,0,home_improvement,0.1347,488.49,11.54248427,8.63,687,3510,6023,20.9,4,0,0,0
239,0,debt_consolidation,0.0951,372.44,9.903487553,14.58,737,6900,20245,50.1,1,0,0,1
240,0,all_other,0.1272,268.48,10.51867319,14.4,707,2280.041667,2479,45.1,6,0,0,0
241,0,debt_consolidation,0.1261,502.6,10.89673933,19.96,682,2639.958333,11460,101.4,1,0,0,0
242,0,all_other,0.1496,83.15,10.16585182,19.62,687,1110,1388,55.5,4,0,0,1
243,0,small_business,0.1596,878.44,11.56171563,26.55,707,6630,78203,90,0,0,0,0
244,0,all_other,0.1442,103.15,9.392661929,4.7,702,2069.958333,1639,21.9,8,0,0,0
245,1,home_improvement,0.1078,313.3,11.02190247,14.06,702,5700.041667,4781,15.5,2,0,0,1
246,0,home_improvement,0.143,252.28,11.08214255,8.22,667,4650,13081,83.9,5,0,0,0
247,0,credit_card,0.1482,138.31,11.51292546,24.79,662,7621,41190,75.2,4,0,0,0
248,0,debt_consolidation,0.1217,59.94,10.6454249,1.71,657,3150.041667,0,0,2,0,0,1
249,0,all_other,0.1568,210.01,10.81977828,5.64,742,4350,9400,25.8,9,0,0,0
250,0,small_business,0.1046,97.46,10.86283777,4.34,682,3120.041667,8414,105.2,4,0,0,0
251,0,educational,0.1596,421.65,11.28978191,4.61,647,299.9583333,339,82.7,12,0,0,0
252,0,all_other,0.1183,165.67,9.903487553,16.74,717,4350,13218,40.3,4,0,0,0
253,0,debt_consolidation,0.1628,282.37,10.18111929,25,662,2010.041667,8768,71.9,3,0,0,1
254,1,debt_consolidation,0.1253,150.6,11.00209984,1.12,687,7499.958333,1916,43.5,0,0,1,1
255,1,debt_consolidation,0.1287,302.7,11.49272276,8.49,697,4141.041667,8644,80,0,0,0,1
256,1,small_business,0.1461,206.86,10.5623538,12.76,767,5610,4031,39.1,5,0,0,1
257,1,all_other,0.0963,152.45,10.30895266,12.52,727,2550,6070,30.3,3,0,0,1
258,1,all_other,0.1284,188.27,10.30895266,2.08,687,4139.958333,3859,38.6,3,0,0,1
259,0,debt_consolidation,0.1754,376.29,10.34174248,22.37,642,4470,10713,82.4,4,0,0,1
260,0,credit_card,0.0894,127.09,11.28978191,15.31,727,5250,101713,61.8,0,0,0,0
261,0,all_other,0.1722,464.95,10.37349118,15.98,642,810,6703,79.8,1,0,0,1
262,0,all_other,0.1379,109.05,10.95080655,15.16,682,2220,249,16.6,5,0,0,0
263,1,home_improvement,0.1253,227.58,11.08214255,4.1,747,2789.958333,155,1.2,6,0,0,1
264,1,debt_consolidation,0.1379,190.83,10.46321762,12.89,687,1770,8364,48.1,1,0,0,1
265,1,debt_consolidation,0.16,852.57,11.69524702,18.08,757,4019.958333,12067,20.7,0,0,0,1
266,0,all_other,0.1513,266.55,11.8493977,18.08,647,2760,12578,76.7,0,0,0,1
267,0,debt_consolidation,0.1059,325.45,10.83958091,0.54,687,397.0416667,704,44,4,0,0,0
268,0,debt_consolidation,0.1443,165.92,10.37349118,28.76,727,3240,11285,46.6,0,0,0,0
269,1,small_business,0.1774,540.32,11.39639165,7.15,692,4410,692,11.5,0,1,0,1
270,0,major_purchase,0.1287,100.9,11.40756495,1.65,687,3690,5227,41.2,5,0,0,0
271,1,debt_consolidation,0.1426,343.06,10.86856845,13.49,687,5640,7573,48.5,2,0,0,1
272,1,debt_consolidation,0.0774,280.97,10.9156156,11.88,777,11249.95833,8805,8.4,3,1,0,1
273,0,all_other,0.1482,79.53,11.22524339,16.05,652,3029.958333,894,89.4,1,0,0,1
274,0,debt_consolidation,0.1474,518.06,11.25803322,22.42,687,9600.041667,2009,19.9,5,0,0,0
275,1,debt_consolidation,0.1387,341.15,10.96819829,24.72,702,6839.041667,24299,58.6,0,0,0,1
276,1,small_business,0.0788,500.49,11.2708539,14.97,782,8850,13925,15.7,0,0,0,0
277,0,debt_consolidation,0.1218,199.8,10.6454249,6.54,702,3574,9382,52.7,4,0,0,0
